round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
BombDefused,25000,25600,Full Buy,Full Buy,1,5,True
TargetSaved,15000,27650,Half Buy,Full Buy,2,5,False
TargetBombed,29450,27250,Full Buy,Full Buy,2,6,True
CTWin,29200,27450,Full Buy,Full Buy,3,6,False
BombDefused,28100,27250,Full Buy,Full Buy,4,6,True
CTWin,28750,26750,Full Buy,Full Buy,5,6,False
TWin,30250,13700,Full Buy,Half Buy,7,5,True
CTWin,15750,31650,Half Buy,Full Buy,8,5,False
CTWin,4100,4400,Eco,Eco,9,5,False
CTWin,21500,1000,Full Buy,Eco,10,5,False
BombDefused,25650,22800,Full Buy,Full Buy,11,5,True
TWin,29650,6100,Full Buy,Force Buy,11,6,True
TWin,30950,27050,Full Buy,Full Buy,11,7,True
CTWin,30450,27250,Full Buy,Full Buy,12,7,False
TargetBombed,6650,27450,Force Buy,Full Buy,12,8,True
CTWin,29850,26950,Full Buy,Full Buy,13,8,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,1000,4700,Eco,Eco,0,1,False
